MOD,                            2017,06/27/2017,09:30:36,09:30:40,       4,       0,       0,       0,       1,       0,       0,       0,       0
MOD,                            2017,06/27/2017,09:30:51,09:30:56,       5,       0,       0,       0,       1,       0,       0,       0,       0
MOD,                            2017,06/27/2017,16:41:59,17:01:20,    1161,       0,       0,       0,     229,       5,       0,       0,       0
MOD,                            2017,06/28/2017,09:27:11,09:41:32,     861,       0,       0,       0,      21,       2,       0,       0,       0
MOD,                            2017,06/28/2017,09:41:50,14:10:27,   16117,       0,       0,       0,     163,      11,       0,       0,       0
MOD,                            2012,06/28/2017,14:10:49,14:14:37,     228,       0,       0,       0,      89,       0,       0,       0,       0
MOD,                            2012,06/28/2017,14:14:58,15:04:47,    2989,       0,       0,       0,     102,       0,       0,       0,       0
MOD,                            1020,06/28/2017,16:00:18,16:12:44,     746,       0,       0,       0,      23,       0,       0,       0,       0
MOD,                            2566,06/28/2017,16:14:38,16:15:16,      38,       0,       0,       0,       8,       0,       0,       0,       0
MOD,                            2566,06/28/2017,16:15:41,16:16:14,      33,       0,       0,       0,     102,       0,       0,       0,       0
